45,142,22,0,0
45,141,27,0,0
45,142,27,0,0
45,142,32,0,0
45,141,22,0,0
45,142,12,0,0
55,142,17,0,0
65,141,27,0,0
55,140,17,0,0
45,142,17,0,0
65,141,32,0,0
55,141,27,0,0
45,142,22,0,0
45,142,22,0,0
45,142,37,1,0
55,141,32,0,0
65,141,17,0,0
45,142,27,0,0
45,142,27,0,0
55,142,27,0,0
35,142,32,0,1
35,142,37,0,1
45,142,27,0,1
65,141,32,1,1
65,141,37,1,1
75,141,17,1,1
45,142,27,0,1
55,142,27,0,1
45,142,22,1,1
55,141,17,0,0
45,141,32,0,0
35,142,42,0,0
55,141,17,1,0
45,142,12,0,0
55,141,22,0,0
55,141,37,0,0
55,141,42,0,0
55,142,32,0,0
65,141,17,0,0
45,142,27,0,0
45,142,22,0,0
45,142,47,0,0
35,142,12,0,0
55,141,17,0,0
65,141,22,0,0
55,142,22,1,0
45,142,17,0,0
45,142,22,0,0
55,141,22,0,0
45,142,32,1,1
65,141,47,0,1
55,142,27,0,1
45,142,17,0,1
65,141,22,0,1
45,141,22,0,1
65,141,22,0,1
35,142,22,1,1
65,141,22,0,0
35,140,17,0,0
55,141,32,0,0
65,141,17,0,0
65,141,12,0,0
45,142,32,0,0
45,142,27,0,0
55,141,42,1,0
65,141,17,0,0
55,141,42,0,0
55,141,32,0,0
45,142,22,0,0
45,142,22,0,0
35,142,32,1,0
45,142,7,0,0
45,142,42,0,0
45,142,32,0,0
35,142,27,0,0
65,141,42,0,0
45,142,37,0,0
35,142,22,0,1
45,142,37,0,1
45,142,22,1,1
45,142,32,0,1
45,142,22,0,1
65,141,22,0,1
45,142,27,1,1
35,142,37,0,1
65,141,32,0,0
35,142,17,0,0
65,141,27,0,0
65,140,32,0,0
65,141,32,1,0
45,142,37,0,0
65,141,32,0,0
55,142,52,1,0
65,141,52,0,0
75,141,42,0,0
55,141,32,0,0
45,142,52,0,0
45,142,32,1,0
65,140,12,0,0
55,141,37,0,0
65,141,32,0,0
65,141,12,0,0
45,142,32,0,0
55,141,22,1,0
55,141,22,0,0
55,141,22,1,1
65,141,32,1,1
45,142,27,0,1
55,141,27,0,1
65,141,12,1,1
45,142,32,0,1
35,142,27,1,1
35,142,32,0,1
55,141,32,0,1
55,142,32,0,1
45,142,22,0,0
55,141,12,0,0
65,141,32,1,0
55,142,27,1,0
65,141,22,0,0
45,142,42,1,0
65,141,32,0,0
55,141,2,0,0
65,141,17,0,0
45,142,32,0,0
65,141,27,0,0
55,141,2,0,0
65,141,7,0,0
55,141,32,0,0
45,142,12,0,0
55,141,27,1,0
55,141,42,0,0
65,141,12,0,0
55,142,27,0,0
55,141,32,1,0
35,142,42,0,1
45,142,32,1,1
65,141,27,0,1
45,142,17,1,1
55,141,32,0,1
55,141,32,1,1
45,142,27,0,1
55,142,37,1,1
45,141,27,1,1
35,142,27,1,1
55,142,17,0,0
55,142,27,1,0
55,142,22,0,0
75,141,12,0,0
55,140,32,0,0
65,141,12,0,0
55,142,32,0,0
65,141,22,0,0
55,142,27,0,0
45,142,12,0,0
45,142,22,0,0
35,142,22,0,0
55,142,17,0,0
45,142,22,0,0
55,141,37,0,0
45,142,27,0,0
55,141,52,0,0
55,141,7,0,0
75,141,22,0,0
55,142,27,0,0
45,142,52,0,1
65,141,32,0,1
55,142,27,1,1
45,142,32,1,1
55,141,32,1,1
35,142,17,1,1
35,142,32,0,1
45,142,17,1,1
55,141,12,0,0
35,142,32,0,0
35,142,42,0,0
55,141,27,1,0
55,142,12,0,0
45,142,27,0,0
55,141,17,0,0
55,141,12,0,0
45,142,37,1,0
65,141,17,0,0
45,142,37,1,0
45,142,27,0,0
55,142,42,0,0
55,141,22,0,0
65,141,27,1,0
55,142,12,0,0
55,141,12,0,0
65,141,12,0,0
45,142,12,0,0
55,142,32,1,0
65,141,52,0,1
35,142,2,0,1
55,141,22,0,1
65,141,42,0,1
55,141,32,0,1
45,142,42,0,1
65,141,32,0,1
65,141,22,1,1
45,142,2,0,0
55,141,32,0,0
35,142,7,0,0
55,141,12,0,0
55,141,17,0,0
75,141,42,0,0
35,142,22,0,0
35,142,17,0,0
45,142,32,0,0
35,142,22,1,0
75,141,2,0,0
65,141,32,0,0
45,141,22,0,0
45,142,22,0,0
