35,142,2,0,0
45,142,27,0,0
45,142,12,0,0
45,142,42,0,0
55,141,27,0,0
45,142,32,0,0
35,142,17,0,1
55,142,52,1,1
45,141,22,0,1
45,142,32,0,1
65,141,27,0,1
55,141,32,1,1
65,141,42,1,1
55,140,22,1,1
45,142,22,0,0
55,142,12,0,0
55,141,22,1,0
45,142,27,0,0
35,142,27,0,0
35,142,27,1,0
55,142,27,0,0
65,141,52,0,0
55,141,32,0,0
55,141,37,0,0
35,142,27,0,0
65,141,12,0,0
35,142,42,0,0
35,142,22,0,0
45,142,32,0,0
55,141,42,0,0
65,141,17,0,0
45,142,12,0,0
45,142,12,0,0
45,142,37,1,0
25,142,37,0,0
55,141,22,0,1
45,142,32,1,1
55,141,37,0,1
55,142,32,0,1
45,142,32,1,1
55,140,22,1,1
55,141,42,1,1
45,141,32,0,1
55,141,2,0,0
55,142,12,0,0
55,141,22,0,0
55,141,27,0,0
45,142,2,0,0
65,141,17,0,0
55,141,27,0,0
45,142,32,0,0
65,141,47,1,0
65,141,27,1,0
35,142,32,0,0
45,142,22,0,0
45,141,42,1,0
65,141,17,0,0
65,141,27,0,0
55,142,37,0,0
35,142,12,0,0
45,142,22,0,0
55,141,27,0,0
55,142,27,0,0
35,142,37,1,1
55,141,42,1,1
55,142,17,0,1
35,142,32,0,1
55,142,27,0,1
55,142,27,0,1
65,141,27,0,1
45,142,27,0,1
